sqft_living,grade,sqft_above,sqft_living15,bathrooms,price
2150,8,1590,2570,2.25,650000.0
1260,7,1260,1290,1.75,289000.0
2519,8,2519,2500,1.75,505000.0
1540,8,1540,1580,1.75,549000.0
1660,7,1110,1440,2.25,425000.0
2770,7,1770,1440,2.75,317625.0
2720,10,2720,2750,2.5,975000.0
2240,7,2240,2221,2.5,287000.0
1000,7,1000,1010,1.0,204000.0
3200,8,1600,3390,2.25,1325000.0
4770,11,3070,3530,3.25,1040000.0
1260,7,1260,1640,2.0,325000.0
2750,7,2250,1510,2.0,571000.0
2380,8,2380,2420,2.5,360000.0
1790,7,1090,1940,1.75,349000.0
3430,10,2390,3240,4.0,832500.0
1760,7,880,1680,1.75,380000.0
1040,7,1040,890,1.0,480000.0
1410,7,910,1130,1.0,410000.0
3450,10,3450,3350,2.5,720000.0
2350,8,2350,2350,2.5,390000.0
1900,7,1900,1870,2.5,360000.0
2020,7,1010,1720,1.0,355000.0
1680,8,1680,1850,1.5,356000.0
960,6,960,1570,1.0,315000.0
2140,9,1900,2020,1.5,940000.0
2660,7,2660,1590,2.25,305000.0
2770,9,1980,1900,3.25,461000.0
1610,7,1610,1950,2.25,215000.0
1030,7,765,1030,1.75,335000.0
1980,7,1980,1980,2.5,243500.0
3520,10,3520,2520,2.75,1099880.0
1200,7,1200,1350,1.0,153000.0
1580,8,1290,1570,1.5,430000.0
1580,8,1290,1570,1.5,700000.0
3300,7,2390,1950,2.5,905000.0
1960,7,1960,1750,1.75,247500.0
1160,7,1160,1160,1.5,199000.0
1810,7,1210,1650,1.75,314000.0
2320,9,2320,2550,2.5,437500.0
2070,9,1270,2200,2.5,850830.0
1980,7,1440,1610,2.0,555000.0
2190,8,2190,2570,2.25,699950.0
2920,8,2920,2370,2.5,1088000.0
1210,7,1210,1640,1.0,290000.0
2340,8,1460,2250,2.5,375000.0
1670,7,1170,1240,1.0,460000.0
1240,8,1240,1270,1.75,188500.0
3140,10,3140,2990,2.5,680000.0
2030,7,2030,2500,1.75,470000.0
2310,8,2310,1940,2.5,597750.0
1260,6,700,1380,1.75,570000.0
1540,7,1160,1540,1.75,272500.0
2080,7,1080,2090,1.75,329950.0
3230,9,2520,2640,2.5,480000.0
4380,8,2780,1830,3.5,740500.0
1590,8,1590,1620,3.5,518500.0
880,6,880,1190,1.0,205425.0
1570,6,1570,1880,2.0,171800.0
1610,7,1610,1610,1.0,535000.0
2400,8,1560,2340,2.5,660000.0
1450,7,1450,1580,2.0,391500.0
770,6,770,1710,1.0,395000.0
2100,7,1720,1850,1.75,445000.0
2910,9,2910,2700,2.25,770000.0
2750,8,1980,3060,2.75,1450000.0
2100,8,1620,2660,2.25,445000.0
2160,8,1360,2090,2.25,260000.0
2320,7,1720,1700,3.5,822500.0
2070,7,2070,1970,2.5,430000.0
1060,7,1060,1420,1.75,212000.0
2010,8,1440,2060,2.25,660500.0
3950,9,2460,2480,3.5,784000.0
2010,8,1390,1690,2.5,453246.0
2140,9,2140,1540,3.5,675000.0
1320,7,1320,1550,1.75,199000.0
2020,7,1010,1750,1.75,220000.0
2590,8,1340,1550,2.25,452000.0
1190,6,1190,1060,1.0,382500.0
1170,8,1170,1350,2.25,519950.0
1110,7,1110,1170,1.0,665000.0
2820,8,1550,2820,2.5,527700.0
1610,7,1010,1610,1.0,205000.0
1060,7,940,1560,1.0,420000.0
2030,8,1380,2230,2.25,500000.0
3670,9,3670,2840,2.5,921500.0
2550,8,2370,2200,1.0,890000.0
2420,7,2420,1940,2.5,430000.0
2260,8,1130,1360,2.0,258000.0
1430,7,980,1450,1.0,511000.0
1360,8,1360,1500,2.0,532170.0
1110,7,1110,1420,1.0,560000.0
1250,7,1250,1680,1.0,282950.0
5180,12,3540,3160,3.25,2250000.0
700,7,700,1010,1.0,350000.0
1180,7,1180,1190,1.0,215000.0
3960,9,2500,2640,3.5,650000.0
2640,8,1620,1980,2.75,320000.0
1270,7,1270,1160,2.0,247000.0
1760,8,1760,1730,1.75,320000.0
2060,7,1030,1010,2.25,255000.0
1780,7,1780,1200,1.75,438000.0
3400,10,3400,3400,2.5,900000.0
1910,7,1160,1710,2.75,441000.0
2020,7,1010,2110,2.0,420000.0
1580,7,1180,1640,1.75,370000.0
1340,5,700,1830,1.75,269950.0
2680,9,2680,2920,2.5,807100.0
2680,8,1610,2480,2.5,653000.0
1370,7,1370,1770,2.0,371500.0
1560,7,1560,1070,1.75,284000.0
2160,7,1670,1930,1.75,272000.0
1340,7,1340,1480,1.5,313000.0
3880,10,2570,3740,2.5,917500.0
2590,8,2590,2260,2.25,673000.0
1120,8,820,1590,2.5,425000.0
1970,7,1320,1280,2.75,399950.0
1220,6,1220,1200,1.0,385000.0
1950,7,1320,1950,1.5,269950.0
1350,7,1060,1540,1.0,330000.0
1670,7,1670,1670,2.5,260000.0
2380,7,1680,1410,3.0,470000.0
2440,7,2440,2290,3.0,589000.0
1050,7,1050,1050,1.5,163500.0
3130,9,2140,2260,2.75,835000.0
4090,10,2090,2540,3.0,1095000.0
1490,8,1100,2190,1.75,269000.0
1900,8,1900,2030,2.5,560000.0
1330,6,1330,1330,1.0,615000.0
2230,8,1430,2230,2.25,585188.0
1650,7,1220,1540,1.75,305000.0
1190,6,1190,1230,1.0,166950.0
2140,8,2140,2680,2.5,799000.0
2180,7,1420,1900,2.5,400000.0
1060,7,1060,1570,1.0,230000.0
1690,8,1690,2550,2.5,256883.0
1970,7,1130,1500,2.0,423000.0
2150,8,2150,1750,2.5,465000.0
1910,7,1910,2330,2.5,440000.0
1350,7,1350,1560,1.75,385000.0
860,6,860,1300,1.0,210000.0
1940,8,1940,2030,2.5,297000.0
1010,7,1010,1680,1.0,470000.0
1300,7,900,1430,1.5,226500.0
910,6,910,1400,1.0,274250.0
2480,9,1630,2770,1.75,840000.0
2440,8,2440,2750,2.5,677900.0
1010,7,1010,1290,1.0,425000.0
900,6,900,1250,0.75,180250.0
2300,7,1600,1560,3.0,464000.0
1550,8,1550,1630,2.25,320000.0
1270,8,1060,1160,2.25,625504.0
2240,9,2240,2520,2.5,592500.0
2714,9,2714,2590,2.5,465000.0
1720,8,1720,2130,2.75,477000.0
850,6,850,1100,1.0,280000.0
3300,9,1870,3836,3.0,1505000.0
2250,8,2250,1320,2.5,445838.0
3900,8,1950,2580,2.25,1072000.0
1320,8,1320,2120,1.5,467000.0
2760,10,2760,3070,2.5,686000.0
1750,7,1350,1900,2.0,279950.0
2330,8,2330,1910,2.25,527000.0
2220,8,1780,2080,2.25,325000.0
2020,7,2020,2020,2.25,328000.0
1250,7,1250,1280,2.25,390000.0
1510,8,1510,1640,2.0,479950.0
1720,7,1120,1510,2.25,264950.0
1430,7,980,1960,1.0,235000.0
1480,7,1480,2250,2.5,516500.0
1450,7,1230,2030,1.75,655000.0
2280,7,2280,2280,2.75,500000.0
2940,8,1780,2120,2.75,315000.0
1000,6,1000,1150,1.0,213000.0
2480,7,1620,2090,1.5,475000.0
3760,10,3760,3430,4.0,1025000.0
2220,7,1640,2070,2.0,416000.0
1970,7,1670,1510,1.0,410000.0
3830,10,3530,2920,3.5,800000.0
4410,9,2350,2600,2.5,472000.0
1430,7,1430,1190,1.75,225000.0
830,6,830,830,1.0,210000.0
1430,7,1430,1450,1.0,455000.0
1300,6,1300,1260,1.0,225000.0
1030,7,790,1390,1.0,480000.0
2740,9,2740,2570,2.5,363000.0
3650,9,1830,3120,2.5,2400000.0
720,6,720,1150,1.5,181000.0
2010,7,2010,2010,2.0,250000.0
1560,6,770,1390,1.75,481000.0
1810,7,1240,1750,2.0,260000.0
3360,9,3360,3060,2.5,455000.0
1510,8,1510,1730,2.25,415000.0
1400,7,800,1620,1.0,349500.0
1730,7,1730,1630,2.5,245000.0
1420,7,1420,1420,2.0,592500.0
2360,7,1180,1910,1.75,385000.0
1580,7,1200,1550,1.75,315000.0
1230,7,1230,1380,1.0,255000.0
2460,8,2460,2990,2.5,693000.0
1660,8,1460,1660,1.0,780000.0
1270,7,1270,1600,1.75,237000.0
2100,10,1320,2380,2.25,525000.0
770,5,770,1330,1.0,425000.0
760,5,760,1230,0.75,369900.0
1700,7,1700,1950,2.5,290000.0
1120,7,1120,1130,1.0,285000.0
1070,7,1070,1320,1.0,415000.0
2070,8,1420,2070,2.5,272500.0
5050,11,4750,3890,3.25,2900000.0
5310,11,5310,4180,4.75,1365000.0
1040,7,1040,1440,1.0,436000.0
1700,7,1700,1350,1.0,210000.0
1300,7,1300,1320,1.0,236000.0
1080,7,580,1440,1.75,331000.0
2653,8,2653,2653,2.5,365000.0
2290,8,2290,1660,2.0,450000.0
3820,9,2850,1860,2.75,770000.0
2210,8,2210,2670,2.5,455000.0
2390,6,1240,2020,1.75,405000.0
2600,7,1610,1720,1.75,304900.0
860,6,860,1650,1.0,170000.0
3830,9,2630,3050,3.0,2050000.0
3500,9,3500,3920,2.5,780000.0
2420,8,1740,2570,3.0,330000.0
2720,9,2720,2410,2.5,370000.0
2500,7,1850,2300,2.25,467000.0
1670,7,1140,1670,1.75,405000.0
2900,8,1450,2310,2.25,675000.0
1640,7,1140,1520,1.0,500000.0
1890,7,1890,2410,2.5,389999.0
2950,8,1780,2120,1.75,630000.0
2160,9,2160,2280,2.5,360000.0
3280,8,2270,2320,3.0,580000.0
1970,8,1270,2390,2.0,550000.0
3360,10,3360,3150,2.5,879000.0
1320,7,1320,1740,2.0,265000.0
2650,8,2650,2400,2.5,446500.0
2030,7,1330,2140,1.5,404000.0
1590,7,1090,1630,1.75,267500.0
4550,10,2600,4550,5.0,3075000.0
2440,8,2440,2510,2.5,335000.0
1940,7,970,2190,2.5,576000.0
2040,8,2040,2370,2.5,208633.0
2200,7,1120,1460,2.25,315000.0
1920,8,960,1740,1.75,725000.0
1800,8,1400,1800,2.75,550000.0
2180,8,2180,2250,2.25,610750.0
1010,6,1010,1460,1.0,550700.0
3320,8,2220,2720,2.75,665000.0
2370,8,1980,2440,2.5,834000.0
1660,6,1660,1660,1.75,201000.0
3650,10,3370,2880,2.5,2384000.0
4290,11,2690,3860,3.25,1384000.0
4290,11,2690,3860,3.25,1400000.0
1950,8,1350,2150,2.25,305000.0
2590,8,1720,1570,2.0,487000.0
1930,8,1930,2350,2.5,390000.0
1470,7,1170,1570,1.0,548000.0
800,6,800,1310,1.0,268750.0
3150,9,3150,1560,2.75,819900.0
2030,8,2030,2660,2.25,520000.0
1450,7,1450,1520,2.0,230000.0
1510,7,1510,1510,1.75,240000.0
1240,6,960,1820,1.0,232000.0
1240,6,960,1820,1.0,240500.0
3030,9,3030,3080,2.5,274975.0
2050,9,2050,2320,2.0,740000.0
1000,7,1000,1150,1.0,186375.0
2370,9,1590,2500,2.25,790000.0
2800,9,1890,2370,3.5,880000.0
2240,7,2240,1590,1.75,279000.0
1810,8,1810,1910,2.0,295000.0
1070,7,1070,1710,1.0,640000.0
2490,9,2490,2770,2.0,940000.0
1960,7,1960,1800,2.5,260000.0
2930,9,1860,2580,2.75,559900.0
1510,7,1510,1820,2.0,791500.0
1420,7,1420,1740,1.75,265000.0
1740,7,1740,880,1.75,245000.0
2560,7,2560,2560,1.75,485000.0
3040,9,2420,3470,3.5,684000.0
2500,8,1300,1580,1.75,425000.0
1275,6,1275,1660,1.75,309600.0
2580,8,2580,2380,2.5,552250.0
1000,6,1000,1020,1.0,165000.0
1000,6,1000,1020,1.0,239900.0
1070,6,1070,1360,1.0,320000.0
1390,7,1390,1720,2.0,206600.0
2500,7,1250,2040,1.75,387000.0
560,4,560,1300,0.75,299000.0
2270,9,2270,2610,2.75,855000.0
1900,7,1300,1940,1.0,315000.0
990,7,790,1930,1.0,437500.0
1550,7,1050,1640,1.5,252000.0
2200,7,1100,1600,1.75,375000.0
1910,7,1910,2010,2.5,300000.0
1750,7,1750,1750,1.0,420000.0
1330,7,1330,1340,1.0,900000.0
2440,9,1980,1520,2.5,679900.0
1640,7,1640,1580,2.5,463000.0
2760,9,2760,2470,2.5,380000.0
1820,7,1820,1820,2.5,329500.0
2110,8,1340,2040,2.5,604950.0
3040,8,1640,2920,2.5,795000.0
1840,7,1840,1380,2.0,465000.0
2990,9,2990,2140,2.5,673000.0
3520,10,3520,3400,2.5,810000.0
2440,8,1910,2770,2.75,785000.0
2090,7,1370,1810,3.0,338000.0
1430,7,1430,1430,2.25,280000.0
2180,7,1100,1810,2.25,315000.0
2180,7,1100,1810,2.25,530000.0
3450,9,3450,2860,3.0,380000.0
1450,7,1450,1650,2.25,297000.0
3230,10,3230,3480,2.5,730000.0
1640,7,1110,1770,1.75,450000.0
1590,7,1060,1680,3.0,275000.0
2020,7,2020,1910,2.0,595000.0
1300,7,1300,1590,1.5,435000.0
1380,6,1380,3130,1.5,270000.0
4040,10,3030,3360,3.0,950000.0
2130,7,2130,2300,2.25,389000.0
2550,8,1580,2420,2.25,560000.0
4800,11,3480,4050,3.5,1350000.0
2510,8,2510,2450,2.25,799000.0
1410,7,1410,1410,2.0,365500.0
1650,7,1160,1710,2.0,252350.0
2120,8,2120,1880,2.5,403950.0
2040,7,1380,1610,1.5,385000.0
1550,7,1550,1450,1.0,345000.0
1980,9,1980,1950,2.75,490000.0
1600,8,1600,1790,2.5,330000.0
3300,8,3300,3180,2.75,927000.0
3840,10,3840,3600,2.5,1118000.0
1220,7,1220,2000,1.0,330000.0
2720,7,1500,2110,2.25,530000.0
1940,8,1940,2000,2.0,365000.0
2160,7,1260,1060,2.5,378750.0
1530,7,1530,1390,1.75,269900.0
1710,8,1290,1630,3.5,557000.0
3730,7,2150,1880,1.75,360000.0
940,7,940,1560,1.0,352000.0
1750,8,1750,2430,2.5,437000.0
1820,7,1820,1820,2.5,322500.0
1510,9,1330,1510,3.25,650000.0
1290,8,1290,1290,2.0,450000.0
1570,7,1570,1570,2.0,278500.0
1930,8,1930,2090,2.5,364950.0
2840,10,2840,3180,3.5,840000.0
1550,7,1550,1550,2.5,268000.0
833,5,833,1380,1.0,517534.0
2990,8,2990,2990,2.5,632925.0
2000,9,2000,2450,2.5,577500.0
2390,7,2390,2850,1.5,339000.0
2910,7,1530,2520,1.75,570000.0
2085,7,1610,2690,1.75,563500.0
2200,7,1290,1910,2.25,423000.0
1860,8,1860,2320,2.25,355000.0
6070,12,6070,4680,4.25,1550000.0
950,7,950,1320,1.0,482000.0
1600,7,1600,1580,1.75,625000.0
2250,8,2250,2360,2.5,538000.0
2280,8,2280,2310,2.5,380000.0
940,7,940,1300,1.0,375000.0
1530,7,1030,1850,2.5,245000.0
2190,7,2190,1620,1.75,310000.0
2350,8,1770,3530,2.0,1300000.0
1440,7,1200,1460,2.0,397000.0
2200,8,2200,2310,2.5,365000.0
2290,9,2290,2290,3.0,328500.0
4040,11,4040,3930,3.0,988000.0
2610,8,1920,1810,2.5,1000000.0
1490,7,1490,1490,2.5,237000.0
2450,8,2450,2300,2.5,525000.0
1710,9,1440,2140,2.5,749000.0
4870,10,3470,3180,2.5,722500.0
3130,10,3130,2860,2.5,843000.0
1270,8,1270,1610,2.0,438000.0
2120,8,1540,2460,1.75,578000.0
1670,7,1670,2077,1.5,227950.0
2070,7,2070,1890,2.25,196000.0
1420,8,1070,2400,1.0,641000.0
1250,6,1250,1930,1.5,350000.0
940,7,940,1150,1.0,205000.0
1920,7,1920,1920,1.75,400000.0
3545,10,2610,3630,2.5,1030000.0
1260,7,1260,1510,2.0,505000.0
2340,7,1300,1930,2.5,475000.0
2590,8,1440,2580,2.25,520000.0
3970,10,3260,2610,4.5,1450000.0
1220,7,1220,1630,1.75,333500.0
1400,6,1400,1230,1.0,232000.0
2360,8,1710,2120,2.75,691100.0
1870,8,1870,1900,1.75,811000.0
2830,9,2830,2500,2.5,551000.0
2260,8,2260,2350,2.5,496500.0
1970,9,1770,2280,3.0,705000.0
3140,9,1770,2460,2.5,578000.0
1240,7,1240,1490,1.75,255000.0
3450,10,3450,3220,3.5,1050000.0
2570,8,2570,2400,2.25,348000.0
1510,7,1510,1570,2.0,230000.0
2390,9,2390,2480,2.25,359500.0
980,6,980,1220,1.0,330000.0
430,4,430,1200,0.75,80000.0
1480,7,1480,1480,1.75,465000.0
1850,8,1850,2100,2.5,325000.0
2270,7,1920,1770,2.0,340500.0
1810,8,1810,1810,2.5,342500.0
1610,6,1610,1310,2.0,290900.0
3840,10,3840,3230,4.25,868700.0
4110,9,3130,2820,2.75,1199000.0
4190,11,3150,4300,3.25,1150000.0
3390,9,3390,3390,2.75,859900.0
1890,7,1890,1580,2.25,520000.0
1610,9,1080,1610,2.5,460000.0
1050,7,850,1770,1.5,438924.0
630,5,630,1420,1.0,315000.0
2910,8,1780,2920,2.75,590000.0
1700,7,850,1620,1.75,378500.0
1950,9,1950,2350,2.5,328500.0
2990,8,2990,2230,3.0,849950.0
1350,7,900,1730,1.5,525000.0
4860,9,4860,3850,3.25,1385000.0
2160,8,1460,2060,2.5,295000.0
4860,11,3860,3600,3.5,1067000.0
890,6,890,1860,2.0,207950.0
2810,9,2810,2820,2.75,699900.0
3400,8,3400,3080,2.5,1280000.0
1580,7,960,1560,1.5,452000.0
1680,7,1680,1680,2.0,370000.0
1300,7,1300,1300,1.75,232000.0
2820,7,2380,1910,2.5,669950.0
1510,7,1070,1660,2.0,397500.0
1230,8,870,1240,2.5,490000.0
2110,9,1710,1440,2.0,725000.0
3080,7,1610,2424,2.75,299000.0
1490,7,1190,1590,1.5,625000.0
2120,7,2120,2530,2.5,437500.0
3180,9,3180,3030,2.5,650000.0
1490,7,860,1460,1.0,475000.0
1930,8,1930,2200,2.0,342000.0
2770,10,2770,2720,2.5,1197350.0
1670,7,1670,1930,1.5,280000.0
1330,7,1330,1450,1.75,240000.0
1210,7,1210,1640,1.0,529000.0
1190,7,1030,1690,1.0,442000.0
1540,7,820,1420,1.0,615000.0
4030,10,4030,2160,3.75,1485000.0
2430,8,1580,1980,1.75,585000.0
2600,8,2600,2830,2.5,480000.0
4410,9,4410,2900,3.5,1095000.0
1330,7,1330,1220,1.0,290000.0
1900,7,950,1770,1.75,615000.0
1100,7,1100,1460,1.0,300000.0
1980,6,1580,1860,1.0,308000.0
2400,9,2400,2080,2.5,750000.0
4760,9,3390,2950,2.25,2250000.0
3180,10,3180,2200,3.25,890000.0
1190,6,1190,1190,1.0,288000.0
630,6,630,1470,1.0,190000.0
2530,8,1520,2290,3.0,515000.0
1690,5,1690,1690,1.5,235000.0
940,6,940,940,1.0,275000.0
1240,7,1240,1380,2.0,727500.0
3040,7,3040,2740,2.5,650000.0
6050,11,6050,4210,5.0,1600000.0
1590,6,1590,1320,1.0,365000.0
2500,9,2500,2590,1.75,662000.0
1780,7,1320,1680,2.5,270500.0
1360,7,1360,1360,1.5,200000.0
4740,10,4740,3340,3.25,970000.0
1010,7,1010,1400,1.5,160000.0
1040,6,1040,1580,1.0,204000.0
1610,7,1610,1780,2.25,358000.0
1570,7,1570,1870,1.75,452000.0
1510,7,1010,1920,2.0,595000.0
1360,7,1360,1360,2.0,249000.0
1970,8,1970,2230,2.5,346900.0
5403,12,5403,3980,2.5,2125000.0
1560,7,1560,1560,2.5,280000.0
2320,8,2270,2120,1.75,318888.0
2120,8,2120,2480,2.25,530000.0
2120,8,2120,2120,2.25,375000.0
3350,11,3350,3920,2.5,910000.0
2380,10,2380,2560,2.5,782000.0
1070,9,720,1070,2.0,259950.0
2300,7,1560,1870,2.75,315000.0
1320,6,1320,1190,1.0,215000.0
2180,7,1140,2180,1.75,705000.0
4380,10,3580,3080,3.0,1450000.0
1790,7,1790,1520,1.75,451000.0
750,6,750,1340,1.0,261000.0
1300,7,1300,1570,1.5,396000.0
2990,9,2990,3715,2.5,725000.0
4640,11,2860,3230,3.5,1950000.0
1400,7,1400,1310,1.0,238000.0
2750,8,2750,2040,1.75,750000.0
2050,7,2050,2050,2.5,331500.0
2230,7,1410,1960,3.0,460000.0
2340,8,2340,2340,2.25,404950.0
2870,9,2870,1630,2.5,880000.0
4120,10,4120,3180,2.5,863000.0
2080,7,1370,1870,1.75,638700.0
1840,7,1840,1600,2.5,435000.0
1180,6,1180,1490,1.0,260000.0
2160,7,1530,2040,2.75,671500.0
1180,8,1180,1440,1.0,610000.0
1160,6,870,1870,0.75,405000.0
1830,7,1830,1830,2.5,338900.0
3200,10,3200,3480,4.0,720000.0
2560,7,1760,1080,3.0,442000.0
2550,8,2550,1590,2.75,650000.0
1330,7,1040,1330,1.75,263500.0
1220,7,1220,2010,1.0,300000.0
1805,7,1805,2095,2.5,266000.0
6050,9,4150,2700,4.0,930000.0
2320,8,2320,2450,2.5,530000.0
1384,6,1384,1000,1.0,180000.0
2720,9,2720,3180,2.5,619000.0
1820,7,1820,1380,1.5,264000.0
2130,7,1530,2130,2.25,730000.0
2060,7,2060,2060,2.25,439000.0
1420,7,1080,1500,1.75,268500.0
1510,7,1510,1470,1.75,330000.0
2160,8,1960,2160,2.5,640000.0
3180,11,3180,3030,2.5,900000.0
2110,8,2110,2470,2.25,370000.0
2060,8,1330,1910,2.0,685000.0
1830,7,1010,2450,1.5,505000.0
1820,7,1820,2050,1.75,265000.0
1610,8,1610,1610,2.5,290000.0
1780,7,1780,2020,2.5,296000.0
1840,7,1840,1830,2.5,360000.0
1460,7,990,1220,1.75,240500.0
1400,8,1400,1540,2.5,372500.0
3370,9,3370,3330,2.5,595000.0
3590,9,3590,2860,3.0,515000.0
3200,9,3200,3070,2.25,1220000.0
1670,8,1670,2170,1.75,507000.0
2420,9,2420,2560,2.0,399950.0
1430,7,1430,1560,1.75,185000.0
1440,7,1440,1440,1.75,460000.0
1450,7,1450,1560,2.25,435500.0
3550,8,2100,2050,2.75,469000.0
1270,8,1110,1290,3.0,531000.0
940,7,940,1150,1.0,443500.0
1670,7,1300,1660,2.0,223000.0
3100,8,2400,2200,3.5,590000.0
1100,7,1100,1200,2.5,340000.0
1870,8,1230,1780,2.0,650000.0
1930,8,1930,2190,2.5,533600.0
2540,9,2540,2600,2.75,695000.0
1280,7,1280,1500,1.75,242000.0
1820,7,1280,1810,2.25,425000.0
1490,7,1490,1290,2.25,525000.0
1880,8,1880,2040,2.5,485000.0
1250,7,1250,1390,1.0,175000.0
1440,8,1440,1700,2.0,210000.0
1920,7,1920,1930,2.5,260000.0
2060,7,1330,1920,2.5,577000.0
1210,7,1210,1408,1.5,200000.0
1760,7,940,1530,1.75,605000.0
990,6,990,1440,1.0,325000.0
960,6,820,1200,1.0,289500.0
1660,9,1660,1660,2.5,559950.0
1900,8,1330,2760,1.75,1042500.0
1270,7,990,1920,2.25,543500.0
3250,9,3250,3110,2.25,480000.0
960,6,960,1080,1.0,218000.0
1330,7,960,1620,1.75,565000.0
2080,7,1600,1680,1.75,426700.0
2690,8,2130,2390,2.5,650000.0
890,7,770,1760,1.0,542000.0
1070,7,1070,1200,1.75,415000.0
1200,6,1200,1200,1.0,214000.0
1360,7,1360,1220,1.5,245000.0
2050,8,2050,2180,2.0,314500.0
3000,9,2000,1820,1.5,1120000.0
1300,7,800,950,2.0,378000.0
2250,7,1340,1540,2.5,305000.0
3740,8,1980,2620,2.75,595000.0
1660,9,1530,1510,2.5,729500.0
2360,7,2360,2360,2.5,430000.0
1760,7,1150,1760,1.75,240000.0
1680,7,1680,1680,1.75,545000.0
1320,7,870,1580,1.75,530000.0
870,6,870,1250,1.0,157000.0
1260,6,1260,1170,1.0,425000.0
1000,6,1000,1300,1.0,220000.0
2020,8,1550,2520,1.75,521000.0
1920,7,1120,2000,1.0,325000.0
2150,7,1380,1940,2.0,597500.0
1470,7,1470,1490,2.5,337000.0
3180,10,3180,3000,2.5,1000000.0
3930,8,2330,2730,2.5,3070000.0
990,6,990,1250,1.0,495000.0
2770,8,1970,2180,3.5,748000.0
1250,7,1250,1750,1.5,888000.0
1140,7,1140,1150,1.75,269900.0
2250,7,1550,2090,2.5,496500.0
1640,7,1640,1880,2.5,475000.0
1255,7,1255,1307,1.5,312000.0
1290,7,1290,1390,1.0,323000.0
1300,7,1300,1890,1.75,331000.0
1220,8,1220,1220,1.5,306000.0
2630,8,2630,1640,2.5,655000.0
1950,8,1950,1940,1.5,290000.0
3160,9,2360,2220,3.25,1250000.0
1550,7,860,1880,1.75,460000.0
1700,7,850,1380,2.5,435000.0
2510,8,1630,2390,2.75,664000.0
1800,8,1800,2180,1.75,865000.0
1800,8,1200,1800,1.75,385000.0
1870,7,1350,2230,2.25,497000.0
1010,7,1010,1150,1.0,280000.0
1120,6,1120,1690,1.5,188000.0
2090,8,1200,1850,1.0,478500.0
4370,11,4370,4190,3.5,1145000.0
1440,7,970,1440,2.0,222000.0
2580,8,2580,3440,3.0,799000.0
3190,10,3190,3250,2.5,609900.0
2380,7,1750,1620,3.5,413000.0
1420,7,1420,1110,1.0,400000.0
2990,9,2990,2870,2.75,802541.0
2680,8,2680,2430,2.5,320000.0
2730,7,2730,2730,2.5,507000.0
1220,6,1220,1490,1.0,387500.0
1500,7,1500,1820,1.0,396000.0
1830,8,1430,2140,1.75,373000.0
4570,10,4570,3180,2.5,1484900.0
2470,8,2470,2330,2.25,359900.0
800,6,670,1210,1.0,410000.0
2900,9,2900,2900,2.5,690000.0
1410,7,1410,1670,2.0,245000.0
2830,8,1610,2670,2.5,700000.0
1680,7,1100,2400,1.75,268000.0
1760,7,920,1350,1.75,225000.0
2240,8,2240,2300,2.25,980000.0
